time,frame_type,path_id,frame_size,ack_delay,acked_ranges,largest_acked,destination_connection_id,mp_ack_ranges,relative_time,time_bucket
5036.5474,mp_ack,0,16,0.068,1,0,,0.0,5.0286720786000005,4
5070.0996,mp_ack,0,16,0.035,1,0,,0.0,5.0622242786,4
5102.0054,mp_ack,0,16,0.033,1,0,,0.0,5.0941300786,4
5131.631,mp_ack,0,16,0.056,1,0,,0.0,5.1237556786,4
5164.4136,mp_ack,0,16,0.038,1,0,,0.0,5.1565382786,4
5200.367,mp_ack,0,16,0.038,1,0,,0.0,5.192491678600001,4
5215.397,mp_ack,0,16,0.033,1,0,,0.0,5.2075216786,4
5232.8545,mp_ack,0,16,0.038,1,0,,0.0,5.224979178600001,4
5266.0903,mp_ack,0,16,0.04,1,0,,0.0,5.2582149786,4
5298.4146,mp_ack,0,16,0.039,1,0,,0.0,5.2905392786,4
5329.39,mp_ack,0,16,0.036,1,0,,0.0,5.321514678600001,4
5363.513,mp_ack,0,16,0.038,1,0,,0.0,5.3556376786,4
5400.246,mp_ack,0,16,0.042,1,0,,0.0,5.3923706786,4
5431.112,mp_ack,0,16,0.036,1,0,,0.0,5.4232366786,4
5467.5767,mp_ack,0,16,0.043,1,0,,0.0,5.4597013786,4
5495.7295,mp_ack,0,16,0.035,1,0,,0.0,5.4878541786,5
5530.542,mp_ack,0,16,0.03,1,0,,0.0,5.5226666786,5
5559.271,mp_ack,0,16,0.031,1,0,,0.0,5.5513956786,5
5590.824,mp_ack,0,16,0.038,1,0,,0.0,5.582948678599999,5
5624.583,mp_ack,0,16,0.034,1,0,,0.0,5.6167076786,5
5657.5596,mp_ack,0,16,0.034,1,0,,0.0,5.6496842786,5
5686.6274,mp_ack,0,16,0.037,1,0,,0.0,5.6787520786000005,5
5724.8394,mp_ack,0,16,0.037,1,0,,0.0,5.7169640786,5
5761.302,mp_ack,0,16,0.031,1,0,,0.0,5.7534266785999995,5
5796.0913,mp_ack,0,16,0.036,1,0,,0.0,5.7882159786,5
5830.636,mp_ack,0,16,0.051,1,0,,0.0,5.822760678600001,5
5865.7046,mp_ack,0,16,0.063,1,0,,0.0,5.857829278600001,5
5900.4795,mp_ack,0,16,0.037,1,0,,0.0,5.892604178600001,5
5933.498,mp_ack,0,16,0.036,1,0,,0.0,5.9256226786,5
5967.349,mp_ack,0,16,0.048,1,0,,0.0,5.9594736786,5
6007.517,mp_ack,0,16,0.032,1,0,,0.0,5.9996416786,5
6045.594,mp_ack,0,16,0.039,1,0,,0.0,6.0377186786,5
6072.54,mp_ack,0,16,0.032,1,0,,0.0,6.0646646786,5
6098.559,mp_ack,0,16,0.034,1,0,,0.0,6.0906836786000005,5
6130.4,mp_ack,0,16,0.035,1,0,,0.0,6.1225246786,5
6158.1865,mp_ack,0,16,0.033,1,0,,0.0,6.1503111786,5
6186.6543,mp_ack,0,16,0.04,1,0,,0.0,6.1787789786000005,5
6224.4897,mp_ack,0,16,0.032,1,0,,0.0,6.2166143786,5
6256.866,mp_ack,0,16,0.051,1,0,,0.0,6.2489906786,5
6292.484,mp_ack,0,16,0.035,1,0,,0.0,6.284608678600001,5
6325.7485,mp_ack,0,16,0.037,1,0,,0.0,6.3178731786,5
6359.855,mp_ack,0,16,0.041,1,0,,0.0,6.351979678599999,5
6395.5635,mp_ack,0,16,0.031,1,0,,0.0,6.3876881786,5
6433.6714,mp_ack,0,16,0.029,1,0,,0.0,6.4257960786,5
6468.716,mp_ack,0,16,0.034,1,0,,0.0,6.4608406786,5
6501.406,mp_ack,0,16,0.031,1,0,,0.0,6.4935306786,5
6534.9854,mp_ack,0,16,0.052,1,0,,0.0,6.5271100786,5
6569.089,mp_ack,0,16,0.033,1,0,,0.0,6.5612136786,5
6595.5264,mp_ack,0,16,0.041,1,0,,0.0,6.5876510785999995,6
6629.644,mp_ack,0,16,0.039,1,0,,0.0,6.6217686786000005,6
6666.6816,mp_ack,0,16,0.064,1,0,,0.0,6.6588062786,6
6700.877,mp_ack,0,16,0.069,1,0,,0.0,6.693001678600001,6
6734.692,mp_ack,0,16,0.062,1,0,,0.0,6.7268166786000005,6
6766.06,mp_ack,0,16,0.074,1,0,,0.0,6.7581846786,6
6799.448,mp_ack,0,16,0.07,1,0,,0.0,6.791572678600001,6
6826.6465,mp_ack,0,16,0.08,1,0,,0.0,6.8187711786,6
6867.882,mp_ack,0,16,0.047,1,0,,0.0,6.8600066786,6
6908.881,mp_ack,0,16,0.036,1,0,,0.0,6.901005678600001,6
6950.3286,mp_ack,0,16,0.033,1,0,,0.0,6.9424532786,6
6983.6694,mp_ack,0,16,0.037,1,0,,0.0,6.9757940786,6
7026.5845,mp_ack,0,16,0.033,1,0,,0.0,7.0187091786,6
7056.5146,mp_ack,0,16,0.05,1,0,,0.0,7.0486392786000005,6
7080.793,mp_ack,0,16,0.045,1,0,,0.0,7.0729176786,6
7108.46,mp_ack,0,16,0.052,1,0,,0.0,7.1005846786,6
7144.2017,mp_ack,0,16,0.041,1,0,,0.0,7.1363263786,6
7181.7666,mp_ack,0,16,0.037,1,0,,0.0,7.1738912786,6
7215.923,mp_ack,0,16,0.037,1,0,,0.0,7.2080476786,6
7252.681,mp_ack,0,16,0.047,1,0,,0.0,7.2448056786,6
7283.511,mp_ack,0,16,0.051,1,0,,0.0,7.2756356786000005,6
7309.664,mp_ack,0,16,0.038,1,0,,0.0,7.3017886785999995,6
7338.7764,mp_ack,0,16,0.032,1,0,,0.0,7.3309010786,6
7377.4517,mp_ack,0,16,0.038,1,0,,0.0,7.3695763786,6
7408.6753,mp_ack,0,16,0.036,1,0,,0.0,7.4007999786,6
7443.8105,mp_ack,0,16,0.032,1,0,,0.0,7.435935178599999,6
7475.0723,mp_ack,0,16,0.038,1,0,,0.0,7.4671969786,6
7506.161,mp_ack,0,16,0.041,1,0,,0.0,7.4982856786,6
7535.8257,mp_ack,0,16,0.04,1,0,,0.0,7.527950378600001,6
7566.0366,mp_ack,0,16,0.037,1,0,,0.0,7.5581612786,6
7600.1543,mp_ack,0,16,0.039,1,0,,0.0,7.5922789786000004,6
7631.9214,mp_ack,0,16,0.035,1,0,,0.0,7.6240460786,6
7662.2134,mp_ack,0,16,0.033,1,0,,0.0,7.6543380785999995,6
7690.053,mp_ack,0,16,0.043,1,0,,0.0,7.6821776786000004,7
7724.3926,mp_ack,0,16,0.039,1,0,,0.0,7.7165172786000005,7
7757.3545,mp_ack,0,16,0.041,1,0,,0.0,7.749479178600001,7
7794.5454,mp_ack,0,16,0.03,1,0,,0.0,7.7866700786,7
7826.518,mp_ack,0,16,0.037,1,0,,0.0,7.8186426786,7
7860.895,mp_ack,0,16,0.039,1,0,,0.0,7.853019678600001,7
